address,city,state,zip,Clusters
777 Brockton Avenue,Abington,MA,2351,0
30 Memorial Drive,Avon,MA,2322,0
250 Hartford Avenue,Bellinghm,MN,2019,0
700 Oak Street,Brockton,MA,2301,0
66-4 Parkhurst Road,Chelmsford,MA,1824,0
591 Memorial Drive,Chicopee,MA,1020,0
55 Brooksby Village Way,Danvers,MA,1923,0
137 Teaticket Highway,East Falmouth,MA,2536,1
42 Fairhaven Commons Way,Fairhaven,MA,2719,0
315 Foxon Boulevard,New Haven,CT,6513,0
164 Danbury Road,New Milford,CT,6776,2
3005 Cranberry Highway Rt 6 28,Wareham,MA,2538,0
141 Washington Avenue Extension,Albany,NY,12205,0
450 Highland Avenue,Salem,OR,1970,0
591 Memorial Drive,Chicopee,MA,1020,0
55 Brooksby Village Way,Danvers,MA,1923,0
137 Teaticket Highway,East Falmth,MA,2536,1
337 Russell Street,Hadley,MA,1035,3
295 Plymouth Street,Halifax,MA,2338,0
1775 Washington Street,Hanover,MA,2339,0
280 Washington Street,Hudson,MA,1749,4
20 Soojian Drive,Leicester,MA,1524,0
777 Brockton Avenue,Abington,MA,2351,0
164 Denbury Road,New Milord,CT,6776,2
337 Russell Street,Hadley,MA,1035,3
295 Plymoth Strt,Halifax,MA,2338,0
280 Wasngton Stt,Hudso,MA,1749,4
