,city,state_id,city_state
0,New York,NY,"New York,NY"
1,Los Angeles,CA,"Los Angeles,CA"
2,Chicago,IL,"Chicago,IL"
3,Miami,FL,"Miami,FL"
4,Dallas,TX,"Dallas,TX"
5,Philadelphia,PA,"Philadelphia,PA"
6,Houston,TX,"Houston,TX"
7,Atlanta,GA,"Atlanta,GA"
8,Washington,DC,"Washington,DC"
9,Boston,MA,"Boston,MA"
10,Phoenix,AZ,"Phoenix,AZ"
11,Seattle,WA,"Seattle,WA"
12,San Francisco,CA,"San Francisco,CA"
13,Detroit,MI,"Detroit,MI"
14,San Diego,CA,"San Diego,CA"
15,Minneapolis,MN,"Minneapolis,MN"
16,Tampa,FL,"Tampa,FL"
17,Denver,CO,"Denver,CO"
18,Brooklyn,NY,"Brooklyn,NY"
19,Queens,NY,"Queens,NY"
20,Riverside,CA,"Riverside,CA"
21,Baltimore,MD,"Baltimore,MD"
22,Las Vegas,NV,"Las Vegas,NV"
23,Portland,OR,"Portland,OR"
24,San Antonio,TX,"San Antonio,TX"
25,St. Louis,MO,"St. Louis,MO"
26,Sacramento,CA,"Sacramento,CA"
27,Orlando,FL,"Orlando,FL"
28,San Jose,CA,"San Jose,CA"
29,Cleveland,OH,"Cleveland,OH"
30,Pittsburgh,PA,"Pittsburgh,PA"
31,Austin,TX,"Austin,TX"
32,Cincinnati,OH,"Cincinnati,OH"
33,Kansas City,MO,"Kansas City,MO"
34,Manhattan,NY,"Manhattan,NY"
35,Indianapolis,IN,"Indianapolis,IN"
36,Columbus,OH,"Columbus,OH"
37,Charlotte,NC,"Charlotte,NC"
38,Virginia Beach,VA,"Virginia Beach,VA"
39,Bronx,NY,"Bronx,NY"
40,Milwaukee,WI,"Milwaukee,WI"
41,Providence,RI,"Providence,RI"
42,Jacksonville,FL,"Jacksonville,FL"
43,Salt Lake City,UT,"Salt Lake City,UT"
44,Nashville,TN,"Nashville,TN"
45,Richmond,VA,"Richmond,VA"
46,Memphis,TN,"Memphis,TN"
47,Raleigh,NC,"Raleigh,NC"
48,New Orleans,LA,"New Orleans,LA"
49,Louisville,KY,"Louisville,KY"
50,Oklahoma City,OK,"Oklahoma City,OK"
51,Bridgeport,CT,"Bridgeport,CT"
52,Buffalo,NY,"Buffalo,NY"
53,Fort Worth,TX,"Fort Worth,TX"
54,Hartford,CT,"Hartford,CT"
55,Tucson,AZ,"Tucson,AZ"
56,Omaha,NE,"Omaha,NE"
57,El Paso,TX,"El Paso,TX"
58,Honolulu,HI,"Honolulu,HI"
59,McAllen,TX,"McAllen,TX"
60,Albuquerque,NM,"Albuquerque,NM"
61,Birmingham,AL,"Birmingham,AL"
62,Sarasota,FL,"Sarasota,FL"
63,Dayton,OH,"Dayton,OH"
64,Rochester,NY,"Rochester,NY"
65,Fresno,CA,"Fresno,CA"
66,Allentown,PA,"Allentown,PA"
67,Tulsa,OK,"Tulsa,OK"
68,Cape Coral,FL,"Cape Coral,FL"
69,Concord,CA,"Concord,CA"
70,Colorado Springs,CO,"Colorado Springs,CO"
71,Charleston,SC,"Charleston,SC"
72,Springfield,MA,"Springfield,MA"
73,Grand Rapids,MI,"Grand Rapids,MI"
74,Mission Viejo,CA,"Mission Viejo,CA"
75,Albany,NY,"Albany,NY"
76,Knoxville,TN,"Knoxville,TN"
77,Bakersfield,CA,"Bakersfield,CA"
78,Ogden,UT,"Ogden,UT"
79,Baton Rouge,LA,"Baton Rouge,LA"
80,Akron,OH,"Akron,OH"
81,New Haven,CT,"New Haven,CT"
82,Columbia,SC,"Columbia,SC"
83,Mesa,AZ,"Mesa,AZ"
84,Palm Bay,FL,"Palm Bay,FL"
85,Provo,UT,"Provo,UT"
86,Worcester,MA,"Worcester,MA"
87,Murrieta,CA,"Murrieta,CA"
88,Greenville,SC,"Greenville,SC"
89,Wichita,KS,"Wichita,KS"
90,Toledo,OH,"Toledo,OH"
91,Staten Island,NY,"Staten Island,NY"
92,Des Moines,IA,"Des Moines,IA"
93,Long Beach,CA,"Long Beach,CA"
94,Port St. Lucie,FL,"Port St. Lucie,FL"
95,Denton,TX,"Denton,TX"
96,Madison,WI,"Madison,WI"
97,Reno,NV,"Reno,NV"
98,Harrisburg,PA,"Harrisburg,PA"
99,Little Rock,AR,"Little Rock,AR"
100,Oakland,CA,"Oakland,CA"
101,Durham,NC,"Durham,NC"
102,Winston-Salem,NC,"Winston-Salem,NC"
103,Bonita Springs,FL,"Bonita Springs,FL"
104,Indio,CA,"Indio,CA"
105,Palm Coast,FL,"Palm Coast,FL"
106,Chattanooga,TN,"Chattanooga,TN"
107,Spokane,WA,"Spokane,WA"
108,Syracuse,NY,"Syracuse,NY"
109,Lancaster,PA,"Lancaster,PA"
110,Arlington,TX,"Arlington,TX"
111,Stockton,CA,"Stockton,CA"
112,Poughkeepsie,NY,"Poughkeepsie,NY"
113,Augusta,GA,"Augusta,GA"
114,Boise,ID,"Boise,ID"
115,Oxnard,CA,"Oxnard,CA"
116,Scranton,PA,"Scranton,PA"
117,Modesto,CA,"Modesto,CA"
118,Kissimmee,FL,"Kissimmee,FL"
119,Aurora,CO,"Aurora,CO"
120,Youngstown,OH,"Youngstown,OH"
121,Fayetteville,AR,"Fayetteville,AR"
122,Anaheim,CA,"Anaheim,CA"
123,Pensacola,FL,"Pensacola,FL"
124,Victorville,CA,"Victorville,CA"
125,Greensboro,NC,"Greensboro,NC"
126,Corpus Christi,TX,"Corpus Christi,TX"
127,Fort Wayne,IN,"Fort Wayne,IN"
128,Santa Ana,CA,"Santa Ana,CA"
129,Flint,MI,"Flint,MI"
130,Jackson,MS,"Jackson,MS"
131,Santa Rosa,CA,"Santa Rosa,CA"
132,Lansing,MI,"Lansing,MI"
133,San Juan,PR,"San Juan,PR"
134,Lexington,KY,"Lexington,KY"
135,Ann Arbor,MI,"Ann Arbor,MI"
136,Henderson,NV,"Henderson,NV"
137,Huntsville,AL,"Huntsville,AL"
138,Mobile,AL,"Mobile,AL"
139,Fort Collins,CO,"Fort Collins,CO"
140,Asheville,NC,"Asheville,NC"
141,Santa Clarita,CA,"Santa Clarita,CA"
142,St. Paul,MN,"St. Paul,MN"
143,Antioch,CA,"Antioch,CA"
144,Lakeland,FL,"Lakeland,FL"
145,Trenton,NJ,"Trenton,NJ"
146,Lincoln,NE,"Lincoln,NE"
147,Anchorage,AK,"Anchorage,AK"
148,Plano,TX,"Plano,TX"
149,Irvine,CA,"Irvine,CA"
150,Davenport,IA,"Davenport,IA"
151,Rockford,IL,"Rockford,IL"
152,Newark,NJ,"Newark,NJ"
153,South Bend,IN,"South Bend,IN"
154,Shreveport,LA,"Shreveport,LA"
155,Round Lake Beach,IL,"Round Lake Beach,IL"
156,Savannah,GA,"Savannah,GA"
157,Myrtle Beach,SC,"Myrtle Beach,SC"
158,Chula Vista,CA,"Chula Vista,CA"
159,Eugene,OR,"Eugene,OR"
160,Canton,OH,"Canton,OH"
161,Lubbock,TX,"Lubbock,TX"
162,Reading,PA,"Reading,PA"
163,Winter Haven,FL,"Winter Haven,FL"
164,Salem,OR,"Salem,OR"
165,St. Petersburg,FL,"St. Petersburg,FL"
166,Lafayette,LA,"Lafayette,LA"
167,Laredo,TX,"Laredo,TX"
168,Jersey City,NJ,"Jersey City,NJ"
169,Chandler,AZ,"Chandler,AZ"
170,McKinney,TX,"McKinney,TX"
171,Scottsdale,AZ,"Scottsdale,AZ"
172,Killeen,TX,"Killeen,TX"
173,Tallahassee,FL,"Tallahassee,FL"
174,Peoria,IL,"Peoria,IL"
175,Wilmington,NC,"Wilmington,NC"
176,Montgomery,AL,"Montgomery,AL"
177,Gilbert,AZ,"Gilbert,AZ"
178,Glendale,AZ,"Glendale,AZ"
179,North Las Vegas,NV,"North Las Vegas,NV"
180,Chesapeake,VA,"Chesapeake,VA"
181,Barnstable,MA,"Barnstable,MA"
182,Norfolk,VA,"Norfolk,VA"
183,Fremont,CA,"Fremont,CA"
184,Kennewick,WA,"Kennewick,WA"
185,Garland,TX,"Garland,TX"
186,Irving,TX,"Irving,TX"
187,Visalia,CA,"Visalia,CA"
188,Atlantic City,NJ,"Atlantic City,NJ"
189,Paradise,NV,"Paradise,NV"
